Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.4650		0.7461		0.2968		0.4300		0.00050000
2		0.5501		0.4521		0.5132		0.5036		0.00049850
3		0.3988		0.5182		0.5543		0.4709		0.00049700
4		0.3465		0.4221		0.5708		0.5394		0.00049550
5		0.3101		0.3769		0.5947		0.5258		0.00049400
6		0.3038		0.4285		0.5928		0.5264		0.00049249
7		0.3030		0.3320		0.5917		0.5762		0.00049099
8		0.2778		0.3102		0.6150		0.6086		0.00048949
9		0.2642		0.3556		0.6389		0.5801		0.00048798
10		0.2786		0.3537		0.6206		0.5751		0.00048648
11		0.2648		0.5009		0.6350		0.5278		0.00048497
12		0.2620		0.3810		0.6432		0.5589		0.00048347
13		0.2519		0.3292		0.6628		0.6071		0.00048196
14		0.2539		0.3679		0.6513		0.5582		0.00048046
15		0.2478		0.3515		0.6639		0.5650		0.00047895
16		0.2464		0.3148		0.6608		0.5865		0.00047744
17		0.2459		0.3220		0.6614		0.5899		0.00047593
18		0.2392		0.3293		0.6747		0.5872		0.00047443
19		0.2339		0.3184		0.6843		0.6092		0.00047292
20		0.2264		0.3295		0.6945		0.6008		0.00047141
21		0.2424		0.3564		0.6667		0.5739		0.00046990
22		0.2275		0.3279		0.6864		0.6053		0.00046839
23		0.2363		0.3402		0.6781		0.5666		0.00046688
24		0.2367		0.3253		0.6737		0.5794		0.00046536
25		0.2212		0.3113		0.6931		0.6262		0.00046385
26		0.2422		0.3877		0.6669		0.5945		0.00046234
27		0.2238		0.3526		0.6939		0.5834		0.00046083
28		0.2194		0.3935		0.6927		0.5693		0.00045931
29		0.2347		0.3515		0.6762		0.5838		0.00045780
30		0.2272		0.3356		0.6863		0.6016		0.00045628
31		0.2252		0.3429		0.6832		0.5963		0.00045477
32		0.2230		0.3296		0.6991		0.6048		0.00045325
33		0.2166		0.3613		0.7022		0.5968		0.00045173
34		0.2204		0.3049		0.6946		0.6085		0.00045022
35		0.2162		0.3285		0.7059		0.5767		0.00044870
36		0.2254		0.3089		0.6824		0.5978		0.00044718
37		0.2209		0.2939		0.6880		0.6266		0.00044566
38		0.2082		0.2893		0.7128		0.6126		0.00044414
39		0.2179		0.3291		0.7005		0.5971		0.00044262
40		0.2214		0.2993		0.6873		0.6236		0.00044110
41		0.2160		0.3031		0.7035		0.6106		0.00043958
42		0.2344		0.5130		0.6707		0.5282		0.00043806
43		0.2233		0.3292		0.6869		0.6076		0.00043653
44		0.2025		0.3075		0.7136		0.6173		0.00043501
45		0.2047		0.3388		0.7167		0.6033		0.00043349
46		0.2159		0.3001		0.7026		0.6254		0.00043196
47		0.2119		0.3393		0.7034		0.6233		0.00043044
48		0.2013		0.3253		0.7206		0.5882		0.00042891
49		0.2297		0.3417		0.6765		0.6055		0.00042739
50		0.2122		0.3149		0.6994		0.6057		0.00042586
51		0.2064		0.3391		0.7075		0.5748		0.00042433
52		0.2200		0.2845		0.6892		0.6313		0.00042281
53		0.1986		0.3277		0.7243		0.6063		0.00042128
54		0.2054		0.3527		0.7107		0.5908		0.00041975
55		0.2097		0.2937		0.7054		0.6303		0.00041822
56		0.2097		0.3085		0.7098		0.5993		0.00041669
57		0.2070		0.3597		0.7106		0.5894		0.00041516
58		0.2120		0.3373		0.7031		0.5757		0.00041362
59		0.2035		0.3713		0.7172		0.6256		0.00041209
60		0.2018		0.3449		0.7184		0.6125		0.00041056
61		0.2149		0.4006		0.6932		0.5580		0.00040903
62		0.2089		0.4076		0.7002		0.6075		0.00040749
63		0.1992		0.3313		0.7204		0.5999		0.00040596
64		0.1989		0.3356		0.7223		0.6042		0.00040442
65		0.2222		0.3011		0.6889		0.6198		0.00040289
66		0.1947		0.3301		0.7307		0.6294		0.00040135
67		0.2043		0.3938		0.7104		0.5973		0.00039981
68		0.2122		0.3262		0.7019		0.6243		0.00039827
69		0.2000		0.3121		0.7188		0.6106		0.00039673
70		0.1903		0.3488		0.7380		0.6195		0.00039520
71		0.2022		0.3393		0.7157		0.5772		0.00039366
72		0.2069		0.3560		0.7104		0.6020		0.00039211
73		0.1988		0.3258		0.7212		0.6355		0.00039057
74		0.2006		0.3188		0.7124		0.5752		0.00038903
75		0.2009		0.3160		0.7139		0.6289		0.00038749
76		0.1863		0.3609		0.7401		0.6054		0.00038594
77		0.1999		0.3317		0.7230		0.5905		0.00038440
78		0.2103		0.3090		0.6993		0.6200		0.00038286
79		0.1900		0.2908		0.7335		0.6190		0.00038131
80		0.2025		0.3197		0.7099		0.6153		0.00037976
81		0.1989		0.3184		0.7228		0.6016		0.00037822
82		0.2062		0.3277		0.7077		0.5977		0.00037667
83		0.1987		0.2816		0.7229		0.6253		0.00037512
84		0.1850		0.3431		0.7409		0.5862		0.00037357
85		0.2014		0.3509		0.7091		0.6043		0.00037202
86		0.2043		0.4285		0.7084		0.6094		0.00037047
87		0.1910		0.5689		0.7320		0.5689		0.00036892
88		0.1960		0.3181		0.7240		0.6216		0.00036737
89		0.1910		0.3097		0.7321		0.6026		0.00036582
90		0.1945		0.3339		0.7255		0.5778		0.00036426
91		0.2151		0.3157		0.7019		0.6229		0.00036271
92		0.1895		0.3023		0.7338		0.6141		0.00036115
93		0.1978		0.3125		0.7227		0.6289		0.00035960
94		0.1841		0.3372		0.7426		0.6171		0.00035804
95		0.1966		0.3132		0.7192		0.6289		0.00035649
96		0.1960		0.2894		0.7222		0.6378		0.00035493
97		0.1860		0.2881		0.7402		0.6388		0.00035337
98		0.1936		0.2976		0.7267		0.6243		0.00035181
99		0.1991		0.3125		0.7094		0.5916		0.00035025
100		0.2036		0.3210		0.7109		0.6234		0.00034869
101		0.1800		0.2771		0.7439		0.6498		0.00034713
102		0.2130		0.2846		0.6951		0.6433		0.00034556
103		0.1862		0.2971		0.7382		0.6107		0.00034400
104		0.1797		0.2962		0.7470		0.6510		0.00034244
105		0.1833		0.2864		0.7443		0.6412		0.00034087
106		0.2008		0.2865		0.7114		0.6381		0.00033931
107		0.1847		0.2873		0.7416		0.6401		0.00033774
108		0.1800		0.3014		0.7482		0.6161		0.00033617
109		0.1821		0.2995		0.7406		0.6111		0.00033460
110		0.2032		0.3203		0.7080		0.6118		0.00033304
111		0.1837		0.3320		0.7428		0.6183		0.00033147
112		0.1831		0.2794		0.7433		0.6366		0.00032990
113		0.2007		0.2880		0.7105		0.6461		0.00032832
114		0.1789		0.2958		0.7432		0.6414		0.00032675
