Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.9156		0.7341		0.2262		0.2659		0.00050000
2		0.6433		0.6164		0.2983		0.3202		0.00049850
3		0.5595		0.5604		0.3345		0.3407		0.00049700
4		0.5077		0.5088		0.3622		0.3683		0.00049550
5		0.4725		0.5874		0.3847		0.3454		0.00049400
6		0.4450		0.4717		0.4043		0.3903		0.00049249
7		0.4188		0.4343		0.4235		0.4024		0.00049099
8		0.4024		0.4394		0.4358		0.4163		0.00048949
9		0.3915		0.4249		0.4452		0.4220		0.00048798
10		0.3754		0.4448		0.4607		0.4128		0.00048648
11		0.3655		0.4200		0.4703		0.4551		0.00048497
12		0.3554		0.3853		0.4814		0.4607		0.00048347
13		0.3407		0.3583		0.4960		0.4776		0.00048196
14		0.3338		0.3760		0.5036		0.4790		0.00048046
15		0.3273		0.3499		0.5081		0.5091		0.00047895
16		0.3261		0.3599		0.5149		0.4785		0.00047744
17		0.3153		0.3381		0.5209		0.5043		0.00047593
18		0.3095		0.3527		0.5320		0.5133		0.00047443
19		0.3002		0.3261		0.5451		0.5138		0.00047292
20		0.2980		0.3351		0.5425		0.5081		0.00047141
21		0.2949		0.3213		0.5529		0.5253		0.00046990
22		0.2930		0.3510		0.5500		0.4849		0.00046839
23		0.2815		0.3267		0.5651		0.5248		0.00046688
24		0.2807		0.3423		0.5688		0.5138		0.00046536
25		0.2802		0.3106		0.5669		0.5415		0.00046385
26		0.2695		0.3013		0.5859		0.5455		0.00046234
27		0.2705		0.3261		0.5848		0.5384		0.00046083
28		0.2697		0.2977		0.5853		0.5605		0.00045931
29		0.2647		0.2973		0.5954		0.5481		0.00045780
30		0.2616		0.2920		0.5927		0.5515		0.00045628
31		0.2548		0.3019		0.6053		0.5427		0.00045477
32		0.2687		0.3021		0.5817		0.5412		0.00045325
33		0.2525		0.3079		0.6091		0.5522		0.00045173
34		0.2523		0.3093		0.6091		0.5496		0.00045022
35		0.2487		0.2917		0.6096		0.5546		0.00044870
36		0.2462		0.2994		0.6155		0.5567		0.00044718
37		0.2448		0.3154		0.6209		0.5463		0.00044566
38		0.2402		0.3974		0.6310		0.5063		0.00044414
39		0.2415		0.2837		0.6220		0.5779		0.00044262
40		0.2541		0.2790		0.6048		0.5644		0.00044110
41		0.2385		0.2908		0.6306		0.5458		0.00043958
42		0.2353		0.3053		0.6355		0.5552		0.00043806
43		0.2381		0.2924		0.6225		0.5604		0.00043653
44		0.2448		0.3396		0.6184		0.5435		0.00043501
45		0.2303		0.2776		0.6407		0.5704		0.00043349
46		0.2294		0.2949		0.6407		0.5568		0.00043196
47		0.2321		0.2853		0.6420		0.5740		0.00043044
48		0.2278		0.2866		0.6450		0.5712		0.00042891
49		0.2312		0.2690		0.6349		0.5814		0.00042739
50		0.2239		0.2770		0.6505		0.5858		0.00042586
51		0.2179		0.3160		0.6601		0.5546		0.00042433
52		0.2338		0.2761		0.6353		0.5957		0.00042281
53		0.2249		0.2754		0.6418		0.5705		0.00042128
54		0.2185		0.2700		0.6615		0.5730		0.00041975
55		0.2140		0.2625		0.6630		0.5958		0.00041822
56		0.2195		0.2619		0.6559		0.5981		0.00041669
57		0.2208		0.2756		0.6536		0.5715		0.00041516
58		0.2150		0.2793		0.6624		0.5905		0.00041362
59		0.2181		0.2756		0.6533		0.5844		0.00041209
60		0.2169		0.2563		0.6616		0.6136		0.00041056
61		0.2184		0.2816		0.6579		0.5808		0.00040903
62		0.2109		0.2503		0.6712		0.6194		0.00040749
63		0.2120		0.2697		0.6654		0.5800		0.00040596
64		0.2081		0.2787		0.6718		0.5734		0.00040442
65		0.2098		0.2481		0.6759		0.6030		0.00040289
